"","geneid","HH29_Beak","HH30_Beak","HH36_Beak","HH38_Beak"
"13211","GALGAL-R14798",2.80296583725136,2.1600093185064,5.50087913665547,2.74509643663885
"13212","GALGAL-R14799",7.13498651828389,1599.24933201533,235.552105394867,32.3691909327085
"13213","GALGAL-R14800",0.00578546070188231,0.00237758756055339,0,0.00793401899684256
"13214","GALGAL-R14801",0.442241974480935,0.263805134801076,1.08057581925407,0.231917332469741
"13215","GALGAL-R14802",1.26607271856932,0.698695746137223,5.8839960571994,1.02364816899253
"13216","GALGAL-R14803",0.0135367354906634,0.0190597831361237,0.0441978873881319,0.0106079431153748
"13217","GALGAL-R14804",0.0188027472811175,0.0110896640058311,0.0322948047680221,0.0242699486210328
"13218","GALGAL-R14805",0.187204513152467,0.216077041680808,0.32846496665608,0.0973202184075212
"13219","GALGAL-R14806",0.0207685613680163,0.0248258791429032,0.0138508774681284,0.0138485828765386
"13220","GALGAL-R14807",0.075575631540298,0.0662080889911599,0.11120209140084,0.076704954625648
"13221","GALGAL-R14808",0.00847445737651642,0.0077011555596049,0.00864655625999925,0.0123080900432696
"13222","GALGAL-R14809",0.0198875211627204,0.00708506311483651,0.00970844297328979,0.00623387206894772
"13223","GALGAL-R14810",0.110485065829199,0.0451569298202601,0.0572938834847717,0.0937174945579686
"13224","GALGAL-R14811",0.018756871222371,0.016152885349322,0.0228197616090551,0.00453372514105289
"13225","GALGAL-R14812",0.0246441987624069,0.00677701689245231,0.021073859744515,0.00736730335421094
"13226","GALGAL-R14813",0.0648928139405297,0.0359155431487343,0.0717236637458262,0.0446986350320255
"13227","GALGAL-R14814",0.00216954776320587,0.00436034668020242,0.00165697379793543,0
"13228","GALGAL-R14815",6.78891318926678,1.83322916949779,89.3851556637924,17.0659484957694
"13229","GALGAL-R14816",0.00966109809627287,0.00184827733430518,0.00579940829277402,0.00226686257052644
"13230","GALGAL-R14817",0.00361591293867644,0.00444712889872259,0.00805146917535435,0.00380735540379544
"13231","GALGAL-R14818",0.0440223857343597,0.0266741564772084,0.0358815115676103,0.0183823080175915
"13232","GALGAL-R14819",0.0242266166891321,0.014170126229673,0.053006977242215,0.0206491705881179
"13233","GALGAL-R14820",0,0,0,0
"13234","GALGAL-R14821",0.0306333931405962,0.001761495115785,0.00414243449483859,0.0153013223510535
"13235","GALGAL-R14822",0.127661203956533,0.175530293483816,0.92481468029357,3.9844417537149
"13236","GALGAL-R14823",67.7473501084714,887.162189211152,1093.75570711152,3412.98547730849
"13237","GALGAL-R14824",0.59807017212647,0.308198956593251,2.29836512540485,0.332112358975357
"13238","GALGAL-R14825",0.672994982065852,0.613449912696006,1.06668119179529,0.542234410057646
"13239","GALGAL-R14826",0.315034388244662,0.214061634670721,0.51335434030007,0.615134222262912
"13240","GALGAL-R14827",3387227663416785920,2318459497908644,4.06863891992441e+23,2468653502495.1
"13241","GALGAL-R14828",0.00216954776320587,0.00215632355668937,0.00165697379793543,0.00874814209285411
"13242","GALGAL-R14829",0.103782636608615,0.0846456198245475,10.6722121769496,0.0707061350399739
"13243","GALGAL-R14830",382.811834710773,5158.09166529153,12677.9914833318,67793991.8080827
"13244","GALGAL-R14831",0.00542386940801466,0.0938851134539681,0.200463444646672,1.53018071882147
"13245","GALGAL-R14832",0.0065086432896176,0.00184827733430518,0.0113654167712252,0.00340029385578967
"13246","GALGAL-R14833",0.00676836774533172,0.00708506311483651,0.0195058140131843,0.0051004407836845
"13247","GALGAL-R14834",0.193979944496499,0.693968482387867,0.143680727305975,0.160483543375776
"13248","GALGAL-R14835",0.00470068682027937,0.000308046222384196,0.00745638209070945,0.00283357821315806
"13249","GALGAL-R14836",0.0631236699312374,0.0224482915823498,0.104301437005381,0.077370494280406
"13250","GALGAL-R14837",0.128574745243242,0.0998328267978613,0.274188102599294,0.0450179432212772
"13251","GALGAL-R14838",0.0231418428075292,0.0193678293585079,0.021073859744515,0.0124677441378954
"13252","GALGAL-R14839",0.00180795646933822,0,0.000828486898967717,0.00170014692789483
"13253","GALGAL-R14840",0.0443839770282274,0.0224005920155261,0.0420032477413119,0.0428388340095048
