"gene","average_expression","expression_prop"
"GALGAL-R00867",12322973043818072,0.886213720316623
"GALGAL-R01942",12213447549635490,0.0108839050131926
"GALGAL-R06095",10271818111869022,0.797823218997362
"GALGAL-R02442",10016583594596718,0.142810026385224
"GALGAL-R03778",8809724747753470,0.0676121372031662
"GALGAL-R15052",7628648321548539,0.478232189973615
"GALGAL-R05535",5935727724584809,0.973614775725594
"GALGAL-R04431",5768186141745475,0.0629947229551451
"GALGAL-R08920",5037260596956777,0.357519788918206
"GALGAL-R15988",4830133245589393,0.515171503957784
"GALGAL-R02012",4830125802411154,0.306398416886544
"GALGAL-R12403",4830125801699302,0.0560686015831135
"GALGAL-R01850",4316379780604928,0.529353562005277
"GALGAL-R06302",3858267233047470,0.0412269129287599
"GALGAL-R10226",3554967825010224,0.0336411609498681
"GALGAL-R16322",2744096893675922,0.892810026385224
"GALGAL-R07294",2557915755575758,0.0949868073878628
"GALGAL-R10187",2515588497609853,0.0653034300791557
"GALGAL-R05805",2506837495462343,0.854551451187335
"GALGAL-R03210",2335407635437626,0.263192612137203
"GALGAL-R00081",2098697594202625,0.965369393139842
"GALGAL-R02959",1988728124281570,0.0263852242744063
"GALGAL-R01830",1868983010278270,0.20745382585752
"GALGAL-R12246",1756252465841099,0.0108839050131926
"GALGAL-R09472",1729312024977050,0.178100263852243
"GALGAL-R12373",1627156530133371,0.851583113456464
"GALGAL-R11883",1521856793335780,0.574208443271768
"GALGAL-R14332",1470699408013330,0.172823218997361
"GALGAL-R00958",1311010764980382,0.244393139841689
"GALGAL-R12467",1268045510914278,0.00230870712401055
"GALGAL-R06371",1111000542657607,0.441622691292876
"GALGAL-R02222",1102714164846158,0.305079155672823
"GALGAL-R09947",1009819850504089,0.604221635883905
"GALGAL-R12861",875866023005131,0.444591029023747
"GALGAL-R03890",785751580153584,0.466688654353562
"GALGAL-R16095",745543998428839,0.343337730870712
"GALGAL-R05070",725789138237541,0.125
"GALGAL-R15475",725307317166335,0.0369393139841689
